trade_id,strategy,trade_date,signal_ts,entry_ts,exit_ts,entry_time,expiry_date,entry_dte,lot_size,entry_spot,exit_spot,signal_vrp_var_act365,causal_vrp_percentile,gross_pnl_points,theoretical_max_loss_points,theoretical_max_profit_points,gross_return_on_max_loss,entry_vix_fallback_legs,exit_vix_fallback_legs,entry_stale_penalty_legs,exit_stale_penalty_legs,span_publication_time_proven,base_gross_pnl_rupees,base_entry_turnover_rupees,base_exit_turnover_rupees,base_total_turnover_rupees,base_entry_slippage_rupees,base_exit_slippage_rupees,base_total_slippage_rupees,base_total_charges_rupees,base_total_cost_rupees,base_net_pnl_rupees,base_margin_rupees,base_gross_return_on_margin,base_net_return_on_margin,base_cost_bps_of_turnover,base_span_scan_margin,base_span_elm_required,base_span_long_premium,base_span_slot,base_charge_brokerage_rupees,base_charge_stt_ctt_rupees,base_charge_stamp_duty_rupees,base_charge_exchange_transaction_rupees,base_charge_sebi_turnover_rupees,base_charge_ipft_rupees,base_charge_gst_rupees,base_charge_physical_delivery_brokerage_rupees,base_charge_margin_api_turnover_reserve_rupees,base_charge_broker_reported_rupees,stress_1_5x_gross_pnl_rupees,stress_1_5x_entry_turnover_rupees,stress_1_5x_exit_turnover_rupees,stress_1_5x_total_turnover_rupees,stress_1_5x_entry_slippage_rupees,stress_1_5x_exit_slippage_rupees,stress_1_5x_total_slippage_rupees,stress_1_5x_total_charges_rupees,stress_1_5x_total_cost_rupees,stress_1_5x_net_pnl_rupees,stress_1_5x_margin_rupees,stress_1_5x_gross_return_on_margin,stress_1_5x_net_return_on_margin,stress_1_5x_cost_bps_of_turnover,stress_1_5x_span_scan_margin,stress_1_5x_span_elm_required,stress_1_5x_span_long_premium,stress_1_5x_span_slot,stress_1_5x_charge_brokerage_rupees,stress_1_5x_charge_stt_ctt_rupees,stress_1_5x_charge_stamp_duty_rupees,stress_1_5x_charge_exchange_transaction_rupees,stress_1_5x_charge_sebi_turnover_rupees,stress_1_5x_charge_ipft_rupees,stress_1_5x_charge_gst_rupees,stress_1_5x_charge_physical_delivery_brokerage_rupees,stress_1_5x_charge_margin_api_turnover_reserve_rupees,stress_1_5x_charge_broker_reported_rupees
1,long_iron_condor_inverse,2021-03-31,2021-03-31 11:14:00+05:30,2021-03-31 11:15:00+05:30,2021-03-31 12:15:00+05:30,11:15,2021-04-08,8.177083333333334,75,14745.1,14733.0,0.002671362463913418,0.6333333333333333,-2.1000000000000014,64.9,35.099999999999994,-0.032357473035439156,4,4,0,0,False,-157.5000000000001,16034.044107309608,15107.485345028754,31141.529452338364,70.97364357397645,64.35684922644079,135.33049280041723,217.7888226727105,353.11931547312776,-510.61931547312787,54721.5588754418,-0.002878207478674072,-0.00933122750825518,113.39177030902464,0.0,44235.3,10486.258875441792,ID1,160.0,15.424349479768974,0.47151539917708174,10.908877767154129,0.031141529452338362,0.15570764726169184,30.797230849896266,0.0,0.0,0.0,-157.5000000000001,16044.81616096441,15097.478017543128,31142.294178507538,106.46046536096468,96.5352738396612,202.99573920062588,217.7567203790657,420.7524595796916,-578.2524595796917,54744.68831316269,-0.002876991446166133,-0.010562713523398727,135.10644307960735,0.0,44235.3,10509.388313162686,ID1,160.0,15.390899219653457,0.4725418487656225,10.90914565073119,0.031142294178507536,0.1557114708925377,30.7972798948444,0.0,0.0,0.0
2,long_iron_condor_inverse,2021-04-05,2021-04-05 12:34:00+05:30,2021-04-05 12:35:00+05:30,2021-04-05 13:35:00+05:30,12:35,2021-04-15,10.121527777777779,75,14565.5,14601.7999,0.01002002484387117,0.6612903225806451,0.9499999999999886,78.59999999999998,21.40000000000002,0.0120865139949108,4,4,0,0,False,71.24999999999915,31946.491230967164,31193.52738807077,63140.01861903793,143.74616423460577,132.0651573135168,275.8113215481226,247.76410793593027,523.5754294840528,-452.3254294840537,62689.11869760088,0.0011365608813818896,-0.007215373877976757,82.92291338130596,0.0,43696.5,18992.618697600883,ID2,160.0,31.467728648744902,0.9501686991087909,22.117948522248987,0.06314001861903794,0.3157000930951897,32.84942195411338,0.0,0.0,0.0,71.24999999999915,31959.736846450745,31180.916082106152,63140.6529285569,215.61924635190863,198.0977359702752,413.71698232218387,247.69781704514543,661.4147993673292,-590.16479936733,62731.67804640133,0.0011357897990118644,-0.009407763633084983,104.7526068689398,0.0,43696.5,19035.178046401328,ID2,160.0,31.39909297311736,0.9522467986631863,22.11817072087348,0.06314065292855689,0.31570326464278453,32.849462634920066,0.0,0.0,0.0
3,long_iron_condor_inverse,2021-04-06,2021-04-06 11:33:00+05:30,2021-04-06 11:34:00+05:30,2021-04-06 12:34:00+05:30,11:34,2021-04-15,9.16388888888889,75,14746.1,14685.5,0.0017405335056578305,0.5555555555555556,-1.6500000000000128,70.35000000000001,29.64999999999999,-0.02345415778251617,4,4,0,0,False,-123.75000000000097,20490.140292647713,21145.647537291454,41635.78782993917,73.30198780981641,79.46746911955111,152.76945692936752,227.61341961630058,380.3828765456681,-504.1328765456691,57158.14614022877,-0.0021650457258778,-0.008819965492037762,91.3595962443024,0.0,44238.3,12919.846140228765,ID1,160.0,20.6796341865049,0.628684609303028,14.585016476827692,0.041635787829939166,0.20817893914969587,31.47026961668532,0.0,0.0,0.0,-123.75000000000097,20499.585438971568,21135.97130593718,41635.55674490875,109.95298171472461,119.20120367932667,229.1541853940513,227.57615685820087,456.7303422522521,-580.4803422522531,57181.19421034315,-0.002164173059149167,-0.010151595297519226,109.69718624168553,0.0,44238.3,12942.894210343147,ID1,160.0,20.641326279757347,0.629826913954542,14.584935527741534,0.04163555674490874,0.20817778372454374,31.470254796277978,0.0,0.0,0.0
4,long_iron_condor_inverse,2021-04-07,2021-04-07 11:57:00+05:30,2021-04-07 11:58:00+05:30,2021-04-07 12:58:00+05:30,11:58,2021-04-15,8.147222222222222,75,14834.2,14851.8999,0.004113432375544693,0.546875,-1.0999999999999979,58.94999999999999,41.05000000000001,-0.01865988125530107,4,4,0,0,False,-82.49999999999984,13039.738915103573,12041.136411478927,25080.8753265825,46.99062267724322,41.917108531180496,88.90773120842371,212.1783707806103,301.08610198903403,-383.58610198903386,53256.58976889041,-0.0015491040706514002,-0.007202603539836565,120.04609012585838,0.0,44502.6,8753.989768890408,ID1,160.0,12.454733797687037,0.3787842458668639,8.785830626901848,0.0250808753265825,0.12540437663291248,30.408536858195042,0.0,0.0,0.0,-82.49999999999984,13047.733372655359,12033.579617218391,25081.31298987375,70.48593401586483,62.87566279677074,133.36159681263558,212.15722006091545,345.51881687355103,-428.01881687355086,53272.33465333561,-0.0015486462257916862,-0.008034542125079378,137.75946140182123,0.0,44502.6,8769.73465333561,ID1,160.0,12.432725696530557,0.3794576188002957,8.785983940352773,0.025081312989873747,0.12540656494936875,30.408564927292566,0.0,0.0,0.0
5,long_iron_condor_inverse,2021-04-15,2021-04-15 11:12:00+05:30,2021-04-15 11:13:00+05:30,2021-04-15 12:13:00+05:30,11:13,2021-04-22,7.178472222222222,75,14362.2,14435.0,0.00388081242969901,0.6521739130434783,6.5500000000000025,44.5,55.5,0.1471910112359551,4,4,0,0,False,491.25000000000017,6447.745934737746,7377.839132488391,13825.585067226137,53.27415209692535,58.85227437080135,112.1264264677267,201.91679727493874,314.0432237426654,177.20677625733475,48005.860043417335,0.010233125696648391,0.003691357182166216,227.1464261480782,0.0,43086.6,4919.2600434173355,ID1,160.0,7.102354320379205,0.20169692240540799,4.843102449049316,0.013825585067226137,0.06912792533613069,29.68669007270148,0.0,0.0,0.0,491.25000000000017,6461.618902106618,7363.6336987325885,13825.252600839207,79.91122814538801,88.27841155620203,168.18963970159004,201.88929561615817,370.0789353177482,121.171064682252,48026.115065126,0.01022880987424943,0.002523024494443023,267.6833082205558,0.0,43086.6,4939.515065126003,ID1,160.0,7.074156480568808,0.20253288360811195,4.842985986073973,0.013825252600839208,0.06912626300419603,29.686668750302218,0.0,0.0,0.0
6,long_iron_condor_inverse,2021-04-19,2021-04-19 12:00:00+05:30,2021-04-19 12:01:00+05:30,2021-04-19 13:01:00+05:30,12:01,2021-05-06,17.145138888888887,75,14264.2999,14307.2,0.003063987839418733,0.5774647887323944,0.3499999999999943,77.65,22.349999999999994,0.004507405022536951,4,4,0,0,False,26.249999999999574,29398.09995410786,29017.098819178387,58415.19877328625,123.34933098134928,114.09165173548448,237.44098271683376,243.34113542267258,480.78211813950634,-454.5321181395068,60465.49934254461,0.0004341318650374496,-0.007517214330183987,82.30428522642843,0.0,42792.8997,17672.599642544606,ID1,160.0,29.10200389528471,0.8793958463400462,20.46284413028217,0.05841519877328625,0.2920759938664313,32.546400358125936,0.0,0.0,0.0,26.249999999999574,29410.274931161788,29005.64822876758,58415.92315992937,185.02399647202392,171.1374776032267,356.1614740752506,243.28423360025886,599.4457076755094,-573.1957076755099,60502.42416381691,0.00043386691298393,-0.009473929608564444,102.61683377567532,0.0,42792.8997,17709.52446381691,ID1,160.0,29.043005842927062,0.8811875195100695,20.463097882923257,0.05841592315992937,0.2920796157996469,32.54644681593891,0.0,0.0,0.0
7,long_iron_condor_inverse,2021-04-20,2021-04-20 11:14:00+05:30,2021-04-20 11:15:00+05:30,2021-04-20 12:15:00+05:30,11:15,2021-05-06,16.177083333333332,75,14431.6,14397.2999,0.004982652394272452,0.6666666666666666,1.3500000000000085,63.150000000000006,36.849999999999994,0.021377672209026262,4,4,0,0,False,101.25000000000064,16149.663931969702,16485.500839926615,32635.164771896318,45.715160159993275,49.45985494590561,95.1750151058989,219.33098909090768,314.50600419680654,-213.25600419680592,53760.614546064855,0.0018833490066086287,-0.003966770208961753,96.37028229979782,0.0,43294.8,10465.814546064848,ID1,160.0,16.320619878395213,0.48943634680503323,11.432098219595279,0.03263516477189632,0.1631758238594816,30.893023657480796,0.0,0.0,0.0,101.25000000000064,16156.370897954552,16478.25125988992,32634.62215784447,68.57274023998991,74.18978241885841,142.76252265884833,219.30740157011155,362.06992422895985,-260.8199242289592,53775.396819097274,0.001882831294404204,-0.0048501720053571815,110.94656542298227,0.0,43294.8,10480.59681909727,ID1,160.0,16.29655481759281,0.4901420202075498,11.431908141892919,0.032634622157844476,0.16317311078922236,30.892988857471195,0.0,0.0,0.0
8,long_iron_condor_inverse,2021-04-26,2021-04-26 10:46:00+05:30,2021-04-26 10:47:00+05:30,2021-04-26 11:47:00+05:30,10:47,2021-05-12,16.196527777777778,75,14513.0,14523.2999,0.0021351217467332345,0.6933333333333334,0.8500000000000085,78.35,21.650000000000006,0.010848755583918426,4,4,0,0,False,63.75000000000064,29908.189790221586,29570.463294535897,59478.65308475748,124.764903725245,122.71355567288296,247.47845939812797,244.34924606687895,491.8277054650069,-428.07770546500626,61493.602346973414,0.0010366932098122281,-0.006961337263177514,82.68978531913778,0.0,43539.0,17954.602346973414,BOD,160.0,29.64746231267968,0.894935723162334,20.835372175590546,0.05947865308475748,0.2973932654237874,32.61460393693783,0.0,0.0,0.0,63.75000000000064,29920.409685332383,29558.194941803846,59478.60462713623,187.1473555878675,184.07033350932448,371.21768909719196,244.2891872115684,615.5068763087604,-551.7568763087597,61530.903520460124,0.0010360647471851705,-0.00896715056565504,103.48374514958687,0.0,43539.0,17991.903520460124,BOD,160.0,29.58556846901952,0.8967910847435012,20.83535520088582,0.05947860462713622,0.29739302313568117,32.61460082915676,0.0,0.0,0.0
9,long_iron_condor_inverse,2021-04-27,2021-04-27 10:24:00+05:30,2021-04-27 10:25:00+05:30,2021-04-27 11:25:00+05:30,10:25,2021-05-12,15.211805555555555,75,14548.8999,14573.2,0.00509650921121018,0.868421052631579,-0.75,72.1,27.900000000000006,-0.010402219140083218,4,4,0,0,False,-56.25,20832.423446897483,20084.547175395895,40916.970622293375,76.8176360583473,72.30671250350991,149.12434856185723,226.97551893804186,376.09986749989906,-432.34986749989906,56805.07024147791,-0.0009902285088440467,-0.007611114037215044,91.91781839660027,0.0,43646.6997,13158.370541477914,BOD,160.0,20.355798136865758,0.6168351745628284,14.333214808989368,0.040916970622293374,0.20458485311146687,31.42416899389016,0.0,0.0,0.0,-56.25,20842.385170346224,20074.94576309384,40917.33093344007,115.22645408752098,108.46006875526484,223.68652284278582,226.93969333081282,450.62621617359866,-506.87621617359866,56829.25551221687,-0.0009898070895528036,-0.008919283063010265,110.13089219006713,0.0,43646.6997,13182.555812216873,BOD,160.0,20.31869720529864,0.6179590118442428,14.333341025984055,0.040917330933440056,0.20458665466720036,31.424192102085243,0.0,0.0,0.0
10,long_iron_condor_inverse,2021-04-29,2021-04-29 11:06:00+05:30,2021-04-29 11:07:00+05:30,2021-04-29 12:07:00+05:30,11:07,2021-05-12,13.182638888888889,75,14826.1,14900.6,0.005340808903094296,0.6794871794871795,-2.9000000000000075,46.00000000000001,53.99999999999999,-0.06304347826086971,4,4,0,0,False,-217.50000000000057,7123.36281043873,5857.181462691619,12980.544273130348,58.253771769896794,44.60860248440224,102.86237425429903,200.78706670007807,303.64944095437716,-521.1494409543777,49794.10829110432,-0.004367986644694203,-0.010466086427487661,233.92658625488434,0.0,44478.3,5315.808291104314,ID1,160.0,6.330090949438025,0.19951359971076973,4.547084658877562,0.012980544273130348,0.06490272136565176,29.632494226412938,0.0,0.0,0.0,-217.50000000000057,7137.544215658095,5845.772194037429,12983.316409695522,87.38065765484518,66.91290372660335,154.2935613814485,200.7647157251171,355.05827710656564,-572.5582771065663,49815.76243665647,-0.004366087948098034,-0.011493516290844814,273.47271367539,0.0,44478.3,5337.46243665647,ID1,160.0,6.305761424157037,0.2003266495661546,4.548055738316343,0.012983316409695524,0.06491658204847763,29.63267201461941,0.0,0.0,0.0
